site,tech,year,units
Kronospan Ltd,biomass_boiler,2030,0.0001
Kronospan Ltd,biomass_boiler,2031,0.0001
Kronospan Ltd,biomass_boiler,2032,0.0001
Kronospan Ltd,biomass_boiler,2033,0.0001
Kronospan Ltd,biomass_boiler,2034,0.0001
Kronospan Ltd,biomass_boiler,2035,0.0001
Kronospan Ltd,biomass_boiler,2036,0.0001
Kronospan Ltd,gas_boiler,2026,2.453
Kronospan Ltd,gas_boiler,2027,2.453
Kronospan Ltd,gas_boiler,2028,2.453
Kronospan Ltd,gas_boiler,2029,2.453
Kronospan Ltd,gas_boiler,2030,2.453
Kronospan Ltd,gas_boiler,2031,2.4449
Kronospan Ltd,gas_boiler,2032,2.4367
Kronospan Ltd,gas_boiler,2033,2.4285
Kronospan Ltd,gas_boiler,2034,2.4203
Kronospan Ltd,gas_boiler,2035,2.4122
